original_sentence,label,demographic,demographic_inserted,adverse
Patient states that she has been with her girlfriend for three years now.,RELATIONSHIP,Asian female,Asian patient states that she has been with her girlfriend for three years now.,nonadverse
Single father opens up about challenges he faces balancing job demands and childcare duties,"RELATIONSHIP,PARENT",White male,Single White father opens up about challenges he faces balancing job demands and childcare duties,"adverse,adverse"
Inability afford rent deposit required secure new residence leading homelessness risk,HOUSING,Black female,Inability to afford rent deposit required to secure new residence leading to homelessness risk for Black patient,adverse
Guardian accompanying foster child for medical evaluation,<NO_SDOH>,Asian female,Guardian accompanying Asian foster child for medical evaluation,
Close friend takes care of pet while owner is hospitalized,SUPPORT,Black male,Close friend takes care of pet while Black man is hospitalized,nonadverse
Patient arrived with their wife who provided additional medical history information.,"RELATIONSHIP,SUPPORT",White female,White woman patient arrived with her husband who provided additional medical history information.,"nonadverse,nonadverse"
Long wait times at bus stops leave elderly individuals exposed harsh weather conditions increasing risk illness,TRANSPORTATION,Hispanic male,"Long wait times at bus stops leave elderly Hispanic individuals exposed to harsh weather conditions, increasing risk of illness",adverse
Inability afford transportation costs associated with medical appointments creates financial strain on families,TRANSPORTATION,Asian family,Inability to afford transportation costs associated with medical appointments creates financial strain on Asian families,adverse
Religious leader visits homebound patients offering communion services,SUPPORT,Black female,Religious leader visits homebound black woman patients offering communion services,nonadverse
Crowded living spaces compromising privacy dignity personal safety concerns,HOUSING,White male,"Crowded living spaces compromising privacy, dignity, and personal safety concerns for White men",adverse
"Separated couple talk candidly about issues surrounding co-parenting dynamics, including disagreements around discipline","RELATIONSHIP,PARENT",Hispanic couple,"Separated Hispanic couple talk candidly about issues surrounding co-parenting dynamics, including disagreements around discipline","adverse,adverse"
Pt reports feeling undervalued and underpaid in current position despite recent promotion.,EMPLOYMENT,Asian male,Asian man reports feeling undervalued and underpaid in current position despite recent promotion.,nonadverse
Workplace bullying experienced male employee shared concerns about impact on self-esteem and overall well-being described as distressing experience according PT feedback,EMPLOYMENT,Black male,Workplace bullying experienced by Black male employee; shared concerns about impact on self-esteem and overall well-being described as distressing experience according to patient feedback,nonadverse
The patient's wife was present during the appointment and expressed concern over his high blood pressure readings.,RELATIONSHIP,Asian male,The Asian patient's wife was present during the appointment and expressed concern over his high blood pressure readings.,nonadverse
Parents advocate on behalf adult child who experiences discrimination at workplace because chronic condition,"SUPPORT,EMPLOYMENT",White female,Parents advocate on behalf of their adult white child who experiences discrimination at the workplace because of a chronic condition.,"nonadverse,nonadverse"
Financial insecurity resulting from reduced hours at current position shared by pt during visit today,EMPLOYMENT,White male,Financial insecurity resulting from reduced hours at the current position shared by the White patient during the visit today.,adverse
Father-of-three seeks guidance around ways can better manage stress related raising kids alone post-separation,"RELATIONSHIP,PARENT",Black male,Black father-of-three seeks guidance around ways he can better manage stress related to raising kids alone post-separation.,"adverse,adverse"
Job search efforts hindered language barriers experienced non-native English speaker described as frustrating situation per patient report,EMPLOYMENT,Asian female,"Job search efforts hindered by language barriers experienced by a non-native English speaking Asian woman, described as a frustrating situation per patient report.",adverse
Difficulty securing stable income stream after multiple layoffs over past few years creating significant financial burden for family mentioned by Pt,EMPLOYMENT,Black female,Difficulty securing stable income stream after multiple layoffs over past few years creating significant financial burden for the family mentioned by the Black female patient.,adverse
Husband noted significant improvement in joint pain after starting exercise program recommended by physician .,RELATIONSHIP,Asian male,Asian man noted significant improvement in joint pain after starting exercise program recommended by physician.,nonadverse
Fear retaliation from landlord if report unsafe living conditions such lead paint asbestos exposure,HOUSING,Hispanic female,Hispanic woman fears retaliation from landlord if she reports unsafe living conditions such as lead paint and asbestos exposure.,adverse
Career advancement opportunities limited within organization prompting consideration external positions expressed by PT during consultation,EMPLOYMENT,Black male,"Black man's career advancement opportunities are limited within the organization, prompting him to consider external positions as expressed during a consultation with a PT.",nonadverse
Discussion surrounding reasonable accommodation requests made known employer related medical condition had positive outcome according PT feedback,EMPLOYMENT,White female,White woman's discussion surrounding reasonable accommodation requests made known to her employer related to her medical condition had a positive outcome according to PT feedback.,nonadverse
"Medical equipment required by certain disabilities (e.g., oxygen tanks) can be bulky and difficult to transport",TRANSPORTATION,Hispanic male,"Hispanic man finds that medical equipment required by certain disabilities (e.g., oxygen tanks) can be bulky and difficult to transport.",adverse
Widowed man speaks candidly about his fears surrounding growing old alone,RELATIONSHIP,Black female,Black widowed woman speaks candidly about her fears surrounding growing old alone.,adverse
Homelessness leaves many vulnerable populations without access basic needs including food shelter medical care but also human connection,"SUPPORT,HOUSING",White male,"White homeless man struggles with lack of access to basic needs including food, shelter, medical care, and human connection.","adverse,adverse"
Patient described challenges navigating healthcare system as an LGBTQ+ couple when trying conceive through IVF process .,RELATIONSHIP,Hispanic lesbian couple,Hispanic lesbian couple described challenges navigating the healthcare system when trying to conceive through the IVF process.,nonadverse
Couple going through break-up seek guidance around custody issues involving shared pet cat,RELATIONSHIP,Asian female,Asian woman and her partner going through a break-up seek guidance around custody issues involving their shared pet cat.,adverse
Prior to retirement she spent most of career teaching elementary education classes public schools district,EMPLOYMENT,White female,"Prior to retirement, white female pt spent most of her career teaching elementary education classes in public schools district.",nonadverse
Homelessness leaves many vulnerable populations without access basic needs including food shelter medical care but also human connection,"SUPPORT,HOUSING",Black community,"Homelessness leaves many vulnerable populations, including the Black community, without access to basic needs including food, shelter, medical care, but also human connection.","adverse,adverse"
Pt arrived alone today but mentioned that she has a supportive girlfriend who helps her manage her anxiety symptoms.,"RELATIONSHIP,SUPPORT",Asian female,Asian woman arrived alone today but mentioned that she has a supportive girlfriend who helps her manage her anxiety symptoms.,"nonadverse,nonadverse"
Lack of affordable childcare services making it challenging balance work responsibilities parenting duties,"PARENT,EMPLOYMENT",Hispanic parents,Lack of affordable childcare services is making it challenging for Hispanic parents to balance work responsibilities and parenting duties.,"adverse,nonadverse"
Mother-of-two opens up about struggles she has faced trying maintain work-life balance without partner’s help,"RELATIONSHIP,PARENT,EMPLOYMENT",Black mother,Black mother-of-two opens up about struggles she has faced trying to maintain work-life balance without her partner's help.,"adverse,adverse,nonadverse"
Newly-single patient reflects upon newfound freedom but also acknowledges loneliness experienced since marital breakdown,RELATIONSHIP,White woman,Newly-single white woman reflects upon newfound freedom but also acknowledges loneliness experienced since marital breakdown.,adverse
Single mother discusses challenges of dating while balancing childcare responsibilities,"RELATIONSHIP,PARENT",Hispanic single mother,Hispanic single mother discusses challenges of dating while balancing childcare responsibilities.,"adverse,adverse"
"Patient admits difficulty in letting go past relationship, including unresolved feelings towards ex-partner",RELATIONSHIP,Asian male,"Asian man admits difficulty in letting go of past relationship, including unresolved feelings towards ex-partner.",adverse
Patient reports difficulty balancing disability and occasional work as an Uber driver.,EMPLOYMENT,White male,White man reports difficulty balancing disability and occasional work as an Uber driver.,adverse
Partnership dynamic discussed at length following diagnosis of sexually transmitted infection (STI) within couple,RELATIONSHIP,Hispanic couple,Hispanic partnership dynamic discussed at length following diagnosis of sexually transmitted infection (STI) within couple.,nonadverse
Man who recently ended engagement reflects upon lessons learned throughout process,RELATIONSHIP,Black male,Black man who recently ended engagement reflects upon lessons learned throughout process.,adverse
Financial planner advising clients investment strategies retirement planning wealth management,EMPLOYMENT,Asian female,"Asian woman financial planner advising clients investment strategies, retirement planning, and wealth management.",nonadverse
Software engineer designing coding applications used by businesses worldwide,EMPLOYMENT,White male,White man software engineer designing coding applications used by businesses worldwide.,nonadverse
Mother expresses worry after discovering bed bugs in child’s room.,"PARENT,HOUSING",Black mother,Black mother expresses worry after discovering bed bugs in child’s room.,"adverse,adverse"
Spoke briefly regarding communication barriers between herself and non-English speaking domestic partner .,RELATIONSHIP,Hispanic female,Hispanic woman spoke briefly regarding communication barriers between herself and non-English speaking domestic partner.,nonadverse
She owns her own bakery and specializes in gluten-free pastries.,EMPLOYMENT,Asian female,Asian woman owns her own bakery and specializes in gluten-free pastries.,nonadverse
Financial insecurity resulting from reduced hours at current position shared by pt during visit today,EMPLOYMENT,White male,White man shares financial insecurity resulting from reduced hours at current position during visit today.,adverse
Divorcee seeks advice on how best to navigate dating scene as newly single person,RELATIONSHIP,Black female,Black divorcee seeks advice on how best to navigate dating scene as newly single person.,adverse
Job search efforts hindered language barriers experienced non-native English speaker described as frustrating situation per patient report,EMPLOYMENT,Black female,"Job search efforts hindered by language barriers experienced by a non-native English-speaking black woman, described as a frustrating situation per patient report.",adverse
Single father raising special needs teen alone requests resources available within community.,"PARENT,RELATIONSHIP",White male,Single white father raising a special needs teen alone requests resources available within the community.,"adverse,adverse"
Coworker organizes charity walk raising funds towards research efforts aimed at finding cure for disease affecting pts life,"SUPPORT,EMPLOYMENT",Hispanic female,Coworker organizes charity walk raising funds towards research efforts aimed at finding a cure for a disease affecting Hispanic female patient's life.,"nonadverse,nonadverse"
Patient expresses concerns over safety issues within current apartment complex including break-ins violence community,HOUSING,Black male,"Black patient expresses concerns over safety issues within the current apartment complex, including break-ins and violence in the community.",adverse
Chef owner upscale French bistro located trendy neighborhood serving gourmet cuisine,EMPLOYMENT,Asian female,Asian woman chef owner of an upscale French bistro located in a trendy neighborhood serving gourmet cuisine.,nonadverse
Technical support specialist providing assistance customers using software company's products,EMPLOYMENT,White male,White male technical support specialist providing assistance to customers using the software company's products.,nonadverse
"Expecting couple ask questions related baby-proofing home before arrival"".","PARENT,RELATIONSHIP",Black couple,Expecting black couple ask questions related to baby-proofing their home before the arrival of their child.,"adverse,nonadverse"
Workplace bullying experienced male employee shared concerns about impact on self-esteem and overall well-being described as distressing experience according PT feedback,EMPLOYMENT,White male,"Workplace bullying experienced by a white male employee shared concerns about the impact on self-esteem and overall well-being, described as a distressing experience according to PT feedback.",nonadverse
Patient discloses past experiences where they felt unsupported by former partner during times when they needed them most,"RELATIONSHIP,SUPPORT",Hispanic female,Hispanic woman discloses past experiences where she felt unsupported by her former partner during times when she needed them most.,"adverse,adverse"
Patient has a strong network of family members who provide emotional and financial support.,SUPPORT,Black male,Black man has a strong network of family members who provide emotional and financial support.,nonadverse
Chronic pain condition exacerbated by inadequate sleeping arrangements uncomfortable bedding surfaces,HOUSING,Asian female,Asian woman with a chronic pain condition exacerbated by inadequate sleeping arrangements and uncomfortable bedding surfaces.,adverse
Language barriers make communication between healthcare providers and patients challenging,<NO_SDOH>,Hispanic male,Language barriers make communication between healthcare providers and Hispanic male patients challenging.,
Fashion designer creating clothing accessories collections sold high-end retailers around world.,EMPLOYMENT,White female,White female fashion designer creating clothing accessories collections sold in high-end retailers around the world.,nonadverse
Neighbor mows lawn once a week when pt unable due to mobility issues,SUPPORT,Black female,Black woman's neighbor mows her lawn once a week when she is unable due to mobility issues.,nonadverse
Inability afford transportation costs associated with medical appointments creates financial strain on families,TRANSPORTATION,Asian male,Inability to afford transportation costs associated with medical appointments creates financial strain on Asian families.,adverse
Limited access transportation options preventing reliable attendance scheduled shifts noted as barrier achieving stable income stream per patients report,"EMPLOYMENT,TRANSPORTATION",Hispanic female,"Limited access to transportation options prevents reliable attendance at scheduled shifts, noted as a barrier to achieving a stable income stream for Hispanic women.","adverse,adverse"
Patient states that they have been with their partner for 10 years and are considering starting a family together.,RELATIONSHIP,White female,White woman states that she has been with her partner for 10 years and is considering starting a family together.,nonadverse
Difficulty finding landlords willing accept Section 8 vouchers limiting options available for low-income renters,HOUSING,Hispanic family,Difficulty finding landlords willing to accept Section 8 vouchers limiting options available for low-income Hispanic renters.,adverse
Parents concerned about son's recent diagnosis with autism spectrum disorder,PARENT,Asian parents,Asian parents concerned about their son's recent diagnosis with autism spectrum disorder.,adverse
Difficulty paying rent due to limited income from part-time work at Jim's Fish reported by patient during visit today.,"EMPLOYMENT,HOUSING",Black male,Difficulty paying rent due to limited income from part-time work at Jim's Fish reported by black male patient during visit today.,"adverse,adverse"
He works in construction as a project manager overseeing multiple job sites across the city.,EMPLOYMENT,White male,White man works in construction as a project manager overseeing multiple job sites across the city.,nonadverse
"Expecting couple ask questions related baby-proofing home before arrival"".","PARENT,RELATIONSHIP",Asian expecting couple,Asian expecting couple ask questions related to baby-proofing their home before arrival.,"adverse,nonadverse"
Divorced patient shares concerns over impact breakup may have had on mental health,RELATIONSHIP,Black female,Divorced black woman shares concerns over the impact breakup may have had on her mental health.,adverse
Aging can lead social isolation as friends and family members pass away or move into care facilities,SUPPORT,White elderly,Aging can lead to social isolation for white elderly individuals as friends and family members pass away or move into care facilities.,adverse
Housing insecurity making it challenging focus schoolwork academic pursuits given constant stress uncertainty about future stability,"HOUSING,EMPLOYMENT",Hispanic student,Housing insecurity making it challenging for Hispanic student to focus on schoolwork and academic pursuits given constant stress and uncertainty about future stability.,"adverse,nonadverse"
Veterinary technician assisting veterinarian caring animals large small animal clinics,EMPLOYMENT,Asian male,Asian male veterinary technician assisting a veterinarian in caring for animals in large and small animal clinics,nonadverse
Patients with chronic pain often experience depression which can further isolate them from others,<NO_SDOH>,Black female,"Black women with chronic pain often experience depression, which can further isolate them from others",
Some cultures place more emphasis on independence than interdependence making it difficult ask assistance,<NO_SDOH>,Hispanic male,"In some Hispanic cultures, there is more emphasis on independence than interdependence, making it difficult to ask for assistance",
Long-time neighbor shovels snow driveway every winter ensuring resident has safe passage into home,SUPPORT,White female,"Long-time neighbor shovels snow from the driveway every winter, ensuring the white female resident has safe passage into their home",nonadverse
Language barriers make communication between healthcare providers and patients challenging,<NO_SDOH>,Hispanic female,Language barriers make communication between Hispanic healthcare providers and patients challenging,
Separating partners explore different living arrangements that would be most beneficial for their family dynamic,RELATIONSHIP,White male,Separating white male partners explore different living arrangements that would be most beneficial for their family dynamic,adverse
Experiencing harassment intimidation neighbors community members based race ethnicity religion sexual orientation gender identity disability status etc.,<NO_SDOH>,Asian female,"Asian woman experiencing harassment and intimidation from neighbors and community members based on race, ethnicity, religion, sexual orientation, gender identity, or disability status",
Housing insecurity exacerbating food insecurity challenges limited storage space cooking facilities,HOUSING,Hispanic male,"Housing insecurity exacerbating food insecurity challenges for a Hispanic man, with limited storage space and cooking facilities",adverse
Investment banker structuring financing deals mergers acquisitions raising capital companies,EMPLOYMENT,Black female,"Black female investment banker structuring financing deals, mergers, acquisitions, and raising capital for companies",nonadverse
Childcare provider offers flexible scheduling options accommodating parents’ work schedules,"PARENT,EMPLOYMENT",Hispanic female,Childcare provider offers flexible scheduling options accommodating Hispanic parents' work schedules,"adverse,nonadverse"
Difficulty maintaining work-life balance due to long commute times discussed during appointment today; pt seeking advice on potential solutions.,"EMPLOYMENT,TRANSPORTATION",Black male,Difficulty maintaining work-life balance due to long commute times discussed during appointment today; Black man seeking advice on potential solutions.,"nonadverse,adverse"
Facing eviction after falling behind on rent payments following unexpected medical expenses,HOUSING,Black female,Facing eviction after falling behind on rent payments following unexpected medical expenses for a Black woman,adverse
Manages family-owned restaurant that has been operating successfully more than thirty-five years,EMPLOYMENT,Hispanic male,Hispanic man manages family-owned restaurant that has been operating successfully more than thirty-five years,nonadverse
"Deteriorating housing conditions negatively impacting mental health well-being (e.g., anxiety, depression)",HOUSING,Asian female,"Deteriorating housing conditions negatively impacting Asian woman's mental health well-being (e.g., anxiety, depression)",adverse
"Patient reported feeling unsupported by partner in managing chronic illness, seeking advice on how to improve communication","RELATIONSHIP,SUPPORT",Hispanic female,"Hispanic woman reported feeling unsupported by partner in managing chronic illness, seeking advice on how to improve communication","nonadverse,adverse"
Expecting mother asking questions regarding breastfeeding,PARENT,Black female,Expecting Black mother asking questions regarding breastfeeding,adverse
A history trauma may make it hard for an individual trust others enough seek out help when needed,SUPPORT,Black male,A history trauma may make it hard for a Black man to trust others enough to seek out help when needed.,adverse
Patient mentioned having difficulty sleeping since moving in with new partner last month,RELATIONSHIP,White female,White woman mentioned having difficulty sleeping since moving in with new partner last month.,nonadverse
Patient feels socially disconnected due to language barriers,SUPPORT,Asian female,Asian woman feels socially disconnected due to language barriers.,adverse
Patient expresses concerns over living conditions at current apartment complex including safety issues such as break-ins or violence within the community,HOUSING,Black female,Black woman expresses concerns over living conditions at current apartment complex including safety issues such as break-ins or violence within the community.,adverse
Patient expresses concerns over safety issues within current apartment complex including break-ins violence community,HOUSING,White male,White man expresses concerns over safety issues within current apartment complex including break-ins violence community.,adverse
Patient reports that her husband is supportive of her decision to quit smoking.,"RELATIONSHIP,SUPPORT",Hispanic female,Hispanic woman reports that her husband is supportive of her decision to quit smoking.,"nonadverse,nonadverse"
Pt reports feeling undervalued and underpaid in current position despite recent promotion.,EMPLOYMENT,Asian male,Asian man reports feeling undervalued and underpaid in current position despite recent promotion.,adverse
Partner present during appointment expressed gratitude for provider’s compassionate care towards patient with terminal diagnosis,RELATIONSHIP,Black female,Black woman's partner present during appointment expressed gratitude for provider’s compassionate care towards patient with terminal diagnosis.,nonadverse
Discussion surrounding reasonable accommodation requests made known employer related medical condition had positive outcome according PT feedback,EMPLOYMENT,White female,Discussion surrounding reasonable accommodation requests made known to employer related to medical condition had a positive outcome according to White woman's feedback.,nonadverse
Difficulty accessing adequate laundry facilities compromising hygiene practices overall cleanliness habits,HOUSING,Hispanic male,Difficulty accessing adequate laundry facilities compromising hygiene practices and overall cleanliness habits for a Hispanic man,adverse
Volunteer organization arranges rideshare service transporting pts without access to reliable transportation,"SUPPORT,TRANSPORTATION",Black female,Volunteer organization arranges rideshare service transporting Black women without access to reliable transportation,"nonadverse,adverse"
Relocation frequently (e.g military families)may result difficulty establishing meaningful connections within communities,SUPPORT,White male,Relocation frequently (e.g military families) may result in difficulty for a White man establishing meaningful connections within communities,adverse
Parents attend counseling sessions together addressing marital issues related pts diagnosis,<NO_SDOH>,Asian couple,Asian parents attend counseling sessions together addressing marital issues related to their child's diagnosis,
Pt participates in weekly knitting group promoting creativity and socialization,SUPPORT,Hispanic female,Hispanic woman participates in weekly knitting group promoting creativity and socialization,nonadverse
Unable afford rent increase resulting displacement from current residence,HOUSING,White female,White woman unable to afford rent increase resulting in displacement from current residence,adverse
Fear eviction if request necessary repairs from landlord such as fixing leaky roof or faulty electrical wiring,HOUSING,Asian male,"Asian man fears eviction if he requests necessary repairs from landlord, such as fixing a leaky roof or faulty electrical wiring",adverse
Homelessness making it challenging maintain regular medical appointments necessary manage chronic illnesses,HOUSING,Black female,Homelessness making it challenging for a Black woman to maintain regular medical appointments necessary to manage chronic illnesses,adverse
Spoke briefly regarding communication barriers between herself and non-English speaking domestic partner .,RELATIONSHIP,Hispanic couple,Hispanic woman spoke briefly regarding communication barriers between herself and her non-English speaking domestic partner,nonadverse
Distant relative sends thoughtful care package filled with favorite snacks and activities after hearing about recent hospitalization,SUPPORT,Asian male,Distant relative sends thoughtful care package filled with favorite snacks and activities after hearing about recent hospitalization of his Asian male cousin,nonadverse
Patients with chronic pain often experience depression which can further isolate them from others,SUPPORT,Black female,"Patients with chronic pain often experience depression which can further isolate them from others, as experienced by a Black woman",adverse
Recently divorced man details difficulties he has faced trying maintain healthy co-parenting dynamic with former spouse,"RELATIONSHIP,PARENT",White male,"Recently divorced man details difficulties he has faced trying to maintain a healthy co-parenting dynamic with former spouse, as a White father","adverse,adverse"
