text,label,adverse
Patient reports difficulty paying rent due to recent job loss.,HOUSING,adverse
Pt currently staying at Barbara McInnis shelter.,HOUSING,adverse
Facing eviction proceedings after defaulting on rental payments; seeking assistance through legal aid organizations,HOUSING,adverse
Facing foreclosure proceedings after defaulting on mortgage payments; seeking assistance through legal aid organizations,HOUSING,adverse
Patient is living in a home with structural damage such as foundation issues and leaking roofs causing water damage throughout the house.,HOUSING,adverse
Current living situation involves overcrowding multiple family members sharing one small space leading increased stress levels,HOUSING,adverse
Homeless patient presenting with skin infections related poor hygiene practices associated w/lack of access clean water facilities & bathing areas,HOUSING,adverse
Pt lives in public housing that requires repairs including plumbing issues broken appliances which have not been addressed management despite repeated requests maintenance services,HOUSING,adverse
"Pt reports experiencing discrimination from landlords due to race, ethnicity, religion or sexual orientation.",HOUSING,adverse
Pt describes feeling unsafe within their own home environment due neighborhood crime rates or domestic violence concerns,HOUSING,adverse
Patient experiences frequent power outages during extreme weather conditions because building’s electrical system cannot handle high demand periods,HOUSING,adverse
Difficulty scheduling appointments around unreliable bus schedules reported by patient,TRANSPORTATION,adverse
Missed appointment due to lack of available transportation options.,TRANSPORTATION,adverse
Inability afford gas/transport costs associated with regular medical visits resulting in sporadic attendance at appointments,TRANSPORTATION,adverse
Uncertainty whether insurance will cover transportation costs for medical appointments,TRANSPORTATION,adverse
Missed appointment attributed to confusion around new location/address of healthcare facility.,TRANSPORTATION,adverse
Patient reports difficulty attending appointments due to living far away and having to transfer multiple times.,TRANSPORTATION,adverse
Long commute time causing stress for patient who must travel two hours each way for treatment.,TRANSPORTATION,adverse
Lack of access or affordability regarding private vehicle ownership preventing patients from accessing care regularly,TRANSPORTATION,adverse
Concerns raised about safety and reliability associated with using taxi/ride-share services,TRANSPORTATION,adverse
Unable afford gas/transport costs associated with regular medical visits according pt report,TRANSPORTATION,adverse
Transportation difficulties cited as reason for missed follow-up visits according pt report,TRANSPORTATION,adverse
Patient expresses concern over upcoming appointment as public transit is currently under construction in the area.,TRANSPORTATION,adverse
Fearful of being stranded without a way home after appointment due to lack of available transport options,TRANSPORTATION,adverse
Uncertainty whether insurance will cover transportation costs for specialist referrals,TRANSPORTATION,adverse
"Pt expresses frustration with long wait times when using public transit, causing them to miss scheduled appointments",TRANSPORTATION,adverse
Inability drive themselves following recent surgery or injury resulting in reliance upon others,TRANSPORTATION,adverse
Transportation difficulties cited by caregiver responsible for bringing elderly parent/patient with mobility limitations,TRANSPORTATION,adverse
Difficulty accessing healthcare facilities located far away from patient's residence reported by caregiver,TRANSPORTATION,adverse
Long wait times between transfers on public transit making it difficult for pt make it on time,TRANSPORTATION,adverse
Patient reports difficulty finding reliable ride-sharing services in their area.,TRANSPORTATION,adverse
Relying solely on family members/friends who work full-time jobs makes scheduling medical appointments challenging,TRANSPORTATION,adverse
Pt unable attend follow-up visit because they do not have a reliable means of transport,TRANSPORTATION,adverse
Discussion surrounding potential solutions such as community shuttle services offered through local senior centers,TRANSPORTATION,adverse
Patient missed their last scheduled appointment because their ride cancelled at the last minute,TRANSPORTATION,adverse
Difficulty attending multiple weekly physical therapy sessions due to limited availability of accessible rideshare/taxi options,TRANSPORTATION,adverse
Pt unable attend follow-up visit because the only bus route servicing her neighborhood is currently out-of-service.,TRANSPORTATION,adverse
Patient reports difficulty finding reliable ride-sharing services in their area,TRANSPORTATION,adverse
"Concerns raised about accessibility/accessibility features (e.g., ramps) at healthcare facilities located further away",TRANSPORTATION,adverse
Patient reports feeling anxious about upcoming surgery because they are unsure how they will get home afterwards,TRANSPORTATION,adverse
Unable drive themselves following recent diagnosis that affects vision/mobility resulting in reliance upon others,TRANSPORTATION,adverse
"Caregiver cites concerns over accessibility/accessibility features (e.g., ramps) at healthcare facilities located further away",TRANSPORTATION,adverse
Caregiver cites concerns over safety when transporting loved one via personal vehicle,TRANSPORTATION,adverse
Fearful that an extended hospital stay will cause them financial hardship if they need assistance getting back home after discharge,TRANSPORTATION,adverse
Patient requests referral closer to home as traveling long distances has become too difficult,TRANSPORTATION,adverse
Long commute time making it difficult attend frequent check-ups required during pregnancy,TRANSPORTATION,adverse
Difficulty lying flat during treatment may be related to discomfort experienced during long car rides into clinic.,TRANSPORTATION,adverse
Relying solely on family members/friends who work full-time jobs makes scheduling medical appointments challenging           ,TRANSPORTATION,adverse
Pt expressed frustration with limited availability of wheelchair accessible vehicles in her area,TRANSPORTATION,adverse
Pt reported being in an abusive relationship before separation,RELATIONSHIP,adverse
Pt describes feeling isolated from friends/family members due to shame associated with divorce,RELATIONSHIP,adverse
Pt reported feeling anxious and depressed due to recent divorce,RELATIONSHIP,adverse
Pt describes ongoing legal battles concerning property division post-divorce,RELATIONSHIP,adverse
Separated couple discussed ways to best support their children during difficult transition period,RELATIONSHIP,adverse
The pt has been dealing with depression since separating from spouse last year.,RELATIONSHIP,adverse
Patient expressed concern that her ex-husband would not allow her visitation rights with their child,RELATIONSHIP,adverse
Pt reported that they were struggling financially since the end their last relationship,RELATIONSHIP,adverse
Recently widowed pt talked openly about anger felt towards God following spouse's sudden passing,RELATIONSHIP,adverse
Separated father talked about challenges co-parenting with his estranged wife who lives out-of-state,RELATIONSHIP,adverse
Recently separated woman described difficulties adjusting living alone again after years spent married,RELATIONSHIP,adverse
Patient disclosed having suicidal thoughts related recent divorce and job loss,RELATIONSHIP,adverse
Patient reveals past trauma related childhood abandonment which contributed towards failed relationships,RELATIONSHIP,adverse
Recently separated man described difficulties maintaining healthy boundaries between himself and former spouse.,RELATIONSHIP,adverse
Separated father talked about struggles associated with co-parenting young children while living out-of-state,RELATIONSHIP,adverse
The patient reports difficulty trusting others after being betrayed by their former partner.,RELATIONSHIP,adverse
Patient shares experiences navigating dating scene as newly divorced individual,RELATIONSHIP,adverse
Patient reveals history of domestic violence within previous marriage leading up until separation,RELATIONSHIP,adverse
Separated husband discusses ongoing legal battles with estranged wife concerning custody arrangements,RELATIONSHIP,adverse
Mother describes difficulty trusting new romantic partners due past trauma related failed relationships,RELATIONSHIP,adverse
Widow discussed feelings loneliness brought on by social isolation restrictions during COVID-19 pandemic,RELATIONSHIP,adverse
Divorcee sought medical help for stress-induced migraines brought on by custody battle,RELATIONSHIP,adverse
Separated patient expresses feelings of guilt over the impact on their children during this difficult time.,RELATIONSHIP,adverse
Single parent discussed challenges balancing full-time job while caring for two small children,RELATIONSHIP,adverse
Widow feels guilty enjoying life without late husband present anymore,RELATIONSHIP,adverse
Patient is recently divorced and experiencing symptoms of depression.,RELATIONSHIP,adverse
Recently widowed pt opened up regarding anger felt toward deceased spouse who passed away suddenly,RELATIONSHIP,adverse
Patient described difficulties maintaining healthy boundaries between herself and her former spouse,RELATIONSHIP,adverse
Separated father explained how difficult it has been adjusting living apart from kids since split,RELATIONSHIP,adverse
Seperated couple attended joint therapy session discussing communication breakdowns contributing towards marital problems,RELATIONSHIP,adverse
Patient arrived at session accompanied by ex-partner discussing possibility reconciliation,RELATIONSHIP,adverse
Single man shared feelings of loneliness and isolation brought on by social distancing restrictions during pandemic,RELATIONSHIP,adverse
Seperated husband talks candidly about struggles associated with co-parenting young children post-separation,RELATIONSHIP,adverse
"Widower expresses guilt over moving on from wife's death, despite therapist reassuring him it is normal process",RELATIONSHIP,adverse
Divorced mother discussed challenges balancing work responsibilities with caring for elderly parent,RELATIONSHIP,adverse
"Patient arrived for appointment with new partner, expressing hopefulness but also fear of being hurt again",RELATIONSHIP,adverse
Widowed patient has been experiencing anxiety attacks related to grief counseling sessions,RELATIONSHIP,adverse
Widower shared how he was using meditation techniques learned at therapy sessions to cope through grief,RELATIONSHIP,adverse
Divorcée revealed she was diagnosed depression before separating from husband,RELATIONSHIP,adverse
Patient has been experiencing feelings of guilt related to the end of their previous relationship,RELATIONSHIP,adverse
Divorcee shared how she was using mindfulness techniques learned in therapy sessions to cope through separation,RELATIONSHIP,adverse
Divorcee reveals past substance abuse problem which contributed towards failed marriage,RELATIONSHIP,adverse
The patient revealed history of sexual abuse within previous relationship leading up until divorce,RELATIONSHIP,adverse
Divorced mother reports experiencing anxiety attacks brought on by custody battle,RELATIONSHIP,adverse
Pt reported feeling overwhelmed by financial strain following divorce settlement,RELATIONSHIP,adverse
Single woman revealed fear around never finding long-term partner who will accept her as she is,RELATIONSHIP,adverse
The pt’s partner left him without any explanation which caused severe emotional distress leading up until now,RELATIONSHIP,adverse
Divorcee reports feeling relieved after ending toxic marriage but also experiencing grief over loss,RELATIONSHIP,adverse
The patient's husband passed away last year and they have been struggling to cope ever since.,RELATIONSHIP,adverse
Mother discusses concerns over son’s behavior changes since father left the home following separation,RELATIONSHIP,adverse
Widower shared how he was coping through his wife’s death using meditation techniques learned at therapy session,RELATIONSHIP,adverse
Single man shared his fear around never finding a long-term partner who will accept him as he is,RELATIONSHIP,adverse
Widower talked about guilt experienced when considering moving on from wife's death,RELATIONSHIP,adverse
"Patient arrived at appointment accompanied by ex-spouse, expressing desire to work towards amicable relationship post-divorce",RELATIONSHIP,adverse
The patient is a single parent struggling to balance work and childcare responsibilities.,RELATIONSHIP,adverse
Separated couple attends therapy session discussing how to best communicate with children about separation,RELATIONSHIP,adverse
Patient explained how losing spouse impacted daily routine including sleep patterns & appetite changes,RELATIONSHIP,adverse
Father talks about concerns regarding son exhibiting signs of anxiety following divorce,RELATIONSHIP,adverse
Seperated couple attended joint counseling session discussing ways improve communication skills,RELATIONSHIP,adverse
Pt reported feeling overwhelmed by responsibilities as single parent while trying maintain work-life balance,RELATIONSHIP,adverse
The patient disclosed history emotional abuse within previous relationship leading up until separation,RELATIONSHIP,adverse
Widow expresses concern that they will never find love again now that they are older,RELATIONSHIP,adverse
Patient expressed frustration over ex-spouse's lack involvement in children’s lives post-separation,RELATIONSHIP,adverse
Divorcée reveals history mental health issues contributing towards marital problems,RELATIONSHIP,adverse
Single woman expressed desire start family despite societal pressure around marriage first,RELATIONSHIP,adverse
Widow opened up regarding fears associated dating again after years spent married,RELATIONSHIP,adverse
Divorced mother spoke candidly about shame experienced when telling others marital status,RELATIONSHIP,adverse
Divorcee revealed history of infidelity within marriage causing trust issues in future romantic relationships,RELATIONSHIP,adverse
Single man disclosed fear around commitment stemming back childhood abandonment experience,RELATIONSHIP,adverse
Mother discussed concerns regarding son displaying signs depression post-divorce,RELATIONSHIP,adverse
Patient reports feeling overwhelmed since separating from their spouse.,RELATIONSHIP,adverse
Patient arrived alone for appointment but mentioned ongoing support from a close friend after recent divorce,RELATIONSHIP,adverse
Recently separated man described difficulty adjusting living alone again after years spent married,RELATIONSHIP,adverse
"Patient arrived for appointment accompanied by new boyfriend, expressing excitement but also anxiety surrounding this new relationship",RELATIONSHIP,adverse
The patient is a single parent struggling emotionally due to recent breakup.,RELATIONSHIP,adverse
Single mother discussed financial struggles as she tries raising two kids by herself while working full-time job,RELATIONSHIP,adverse
Father spoke openly about feelings inadequacy related inability provide financially after divorce,RELATIONSHIP,adverse
Widowed elderly pt talks about fears of being alone and unable to care for themselves in future,RELATIONSHIP,adverse
Separated couple attends joint counseling session discussing ways improve communication skills,RELATIONSHIP,adverse
Father talks candidly about fears regarding future dating prospects after years spent married,RELATIONSHIP,adverse
Recently separated woman shares struggles around co-parenting young children during pandemic,RELATIONSHIP,adverse
Father expressed frustration over ex-wife’s lack of involvement in children's lives since separation,RELATIONSHIP,adverse
Single patient reports difficulty forming meaningful relationships due to past trauma.,RELATIONSHIP,adverse
Single mother discusses challenges of raising child with special needs without partner’s support,RELATIONSHIP,adverse
The patient expressed frustration surrounding ongoing legal battle concerning property division post-separation.,RELATIONSHIP,adverse
Widow spoke openly about loneliness experienced following loss of long-term partner,RELATIONSHIP,adverse
He mentioned his husband being a source of strength in managing chronic pain symptoms,RELATIONSHIP,nonadverse
He mentioned that he had just celebrated his fifth wedding anniversary,RELATIONSHIP,nonadverse
Pt and his wife came in for a follow-up appointment.,RELATIONSHIP,nonadverse
"Patient stated that he had recently proposed to his boyfriend, now fiancé",RELATIONSHIP,nonadverse
Partner present at time of examination; both individuals were supportive throughout the process,RELATIONSHIP,nonadverse
He arrived accompanied by his boyfriend who provided additional medical history information,RELATIONSHIP,nonadverse
Patient reported feeling supported by their spouse during recent hospitalization after car accident,RELATIONSHIP,nonadverse
Pt reports that she lives alone but has a supportive network of friends and family members,RELATIONSHIP,nonadverse
Pt reports being in a long-term committed relationship without plans to marry or cohabit any time soon.,RELATIONSHIP,nonadverse
She shared details about planning an upcoming anniversary celebration for her and her husband,RELATIONSHIP,nonadverse
Patient states that they have been dating their current partner for six months,RELATIONSHIP,nonadverse
Spouse assisted in scheduling appointment due to language barrier,RELATIONSHIP,nonadverse
Notified staff member upon arrival that she had recently gotten married,RELATIONSHIP,nonadverse
Spouse assisted in scheduling appointments due language barrier,RELATIONSHIP,nonadverse
"She is engaged to be married next year, excitedly sharing wedding preparations.",RELATIONSHIP,nonadverse
He is happily married to his husband of ten years.,RELATIONSHIP,nonadverse
Spoke briefly regarding relationship issues between herself and longtime domestic partner,RELATIONSHIP,nonadverse
Notified staff member upon arrival regarding change in marital status (recently divorced),RELATIONSHIP,nonadverse
Patient arrived with their girlfriend who provided additional medical history information,RELATIONSHIP,nonadverse
Reportedly living alone but maintains close relationships within community,RELATIONSHIP,nonadverse
Partner expressed gratitude towards clinic staff members providing resources on caregiving techniques,RELATIONSHIP,nonadverse
Patient reported feeling supported by their spouse during recent hospitalization,RELATIONSHIP,nonadverse
Discussed importance of communication between partners when dealing with mental health issues,RELATIONSHIP,nonadverse
She is currently living with her long-term partner,RELATIONSHIP,nonadverse
Patient reported feeling supported by their same-sex spouse during recent hospitalization,RELATIONSHIP,nonadverse
The patient's fiancé was present at the appointment today.,RELATIONSHIP,nonadverse
Mentioned recent separation from former spouse after thirty-year marriage,RELATIONSHIP,nonadverse
Patient stated they are currently going through divorce proceedings.,RELATIONSHIP,nonadverse
His boyfriend joined him in discussing treatment options,RELATIONSHIP,nonadverse
Patient reports that she and her partner are currently undergoing IVF treatments,RELATIONSHIP,nonadverse
She stated that she resides with both partners,RELATIONSHIP,nonadverse
The patient's spouse was present at the time of examination,RELATIONSHIP,nonadverse
Patient noted feeling supported by their same-sex spouse,RELATIONSHIP,nonadverse
Her boyfriend assisted in scheduling this appointment,RELATIONSHIP,nonadverse
She arrived accompanied by her girlfriend who helped provide emotional support throughout the visit,RELATIONSHIP,nonadverse
Husband noted as primary support system following recent cancer diagnosis,RELATIONSHIP,nonadverse
He shared details about planning an upcoming wedding ceremony,RELATIONSHIP,nonadverse
"Partner provided additional information regarding patient's medical history, including family history of heart disease",RELATIONSHIP,nonadverse
They reported being together since high school,RELATIONSHIP,nonadverse
Discussed importance of maintaining open communication with spouse regarding health concerns,RELATIONSHIP,nonadverse
Mentioned struggles associated specifically towards managing PTSD symptoms while also being part of couple,RELATIONSHIP,nonadverse
The patient's partner accompanied her to the visit today.,RELATIONSHIP,nonadverse
Wife expressed gratitude towards staff members for providing resources on caregiving techniques,RELATIONSHIP,nonadverse
They have been happily married for over thirty years now!,RELATIONSHIP,nonadverse
Mentioned challenges associated with balancing work life and family responsibilities as a single parent,RELATIONSHIP,nonadverse
She arrived accompanied by her girlfriend who helped to provide emotional support throughout the visit,RELATIONSHIP,nonadverse
Patient reports that she and her partner are currently undergoing fertility treatments,RELATIONSHIP,nonadverse
He mentioned his girlfriend has been helping him manage stress levels lately.,RELATIONSHIP,nonadverse
Her wife came along to provide support during this visit.,RELATIONSHIP,nonadverse
Pt reports having recently gotten engaged,RELATIONSHIP,nonadverse
Husband noted as primary caregiver for patient with dementia,RELATIONSHIP,nonadverse
Partner noted as primary caregiver following major surgery last month,RELATIONSHIP,nonadverse
Wife discussed difficulties associated with caring full-time for disabled veteran husband,RELATIONSHIP,nonadverse
Reportedly dating someone new after ending previous long-term partnership,RELATIONSHIP,nonadverse
Discussed importance of establishing healthy boundaries when dealing with codependency tendencies,RELATIONSHIP,nonadverse
Reportedly single but maintains close friendships within community,RELATIONSHIP,nonadverse
Partner provided additional information regarding patient's medical history,RELATIONSHIP,nonadverse
Pt discussed concerns related to maintaining intimacy within long-term marriage after cancer diagnosis,RELATIONSHIP,nonadverse
He mentioned his wife being instrumental in helping him quit smoking,RELATIONSHIP,nonadverse
He has been happily married for over twenty-five years,RELATIONSHIP,nonadverse
Partner expressed concern over worsening physical symptoms,RELATIONSHIP,nonadverse
Discussed concerns related specifically towards maintaining healthy relationships while managing chronic illness symptoms,RELATIONSHIP,nonadverse
Husband expressed concern over worsening symptoms related to chronic illness diagnosis.,RELATIONSHIP,nonadverse
Wife discussed how difficult it can be to manage chronic pain symptoms while also being a caregiver for her husband with Alzheimer's disease.,RELATIONSHIP,nonadverse
She brought her fiancé along with her for support during the exam.,RELATIONSHIP,nonadverse
The patient’s significant other attended today’s consultation,RELATIONSHIP,nonadverse
His husband drove him to this appointment as he cannot drive due to medication side effects,RELATIONSHIP,nonadverse
Pt described how they met their current partner through mutual friends,RELATIONSHIP,nonadverse
The grandmother brought in her granddaughter who is currently living with them due to parental issues,PARENT,adverse
Couple seeking advice on how best manage younger siblings through older sister’s cancer treatment,PARENT,adverse
Patient reported having one child under the age of six.,PARENT,adverse
Couple seeking guidance on how best support teenage son through recent anxiety diagnosis,PARENT,adverse
The patient is a single parent raising her six-year-old son.,PARENT,adverse
Both parents attended today's visit with their newborn baby girl.,PARENT,adverse
Pt shared that they are expecting their third child this spring,PARENT,adverse
Pt disclosed they have adopted a five-year-old boy last year,PARENT,adverse
Patient reports being the father of four children ranging from ages seven months to ten years old,PARENT,adverse
"Single mom attending appointment with her two girls (ages 7,10) who have been arguing lately",PARENT,adverse
Mom arrived early because she needed time getting all three kids ready before leaving,PARENT,adverse
Aunt brought niece into clinic after becoming legal guardian following family tragedy,PARENT,adverse
Parents concerned about son's frequent headaches - referred to neurologist,PARENT,adverse
Single dad attending appt w/son(age seven)-concerned over lack interest school activities,PARENT,adverse
Father brought his son (age 7) to the clinic after noticing a rash on his arm,PARENT,adverse
Single mom attending appointment w/son (age nine) who has been experiencing migraines lately,PARENT,adverse
The patient is married and has two children ages eight and eleven years old.,PARENT,adverse
Pt disclosed they have adopted an eight-year-old boy last year,PARENT,adverse
Father attended appointment alone but stated he had custody over two daughters ages ten and thirteen,PARENT,adverse
Dad came alone but mentioned he was taking care of his toddler son during wife’s absence,PARENT,adverse
Teenager brought in by father for sports physical; both enthusiastic upcoming football season,PARENT,adverse
Couple seeking guidance on how best to support teenage daughter through recent depression diagnosis,PARENT,adverse
Father attended appointment alone but stated he had custody over two sons ages ten and twelve,PARENT,adverse
Mother brought in newborn baby boy for first well-child exam,PARENT,adverse
Mom arrived early because she needed time getting all four kids ready before leaving,PARENT,adverse
Couple seeking advice on how best manage younger siblings through older brother’s diabetes treatment,PARENT,adverse
Mother accompanied by her twin girls both aged ten months came in for routine vaccinations,PARENT,adverse
Parents concerned about daughter's speech development- referred to speech therapist,PARENT,adverse
Father attended appointment alone but stated he had custody over one daughter aged nine,PARENT,adverse
"Patient reported having two children under five years old, one boy and one girl.",PARENT,adverse
Parents concerned about son’s frequent stomach aches - referred to gastroenterologist,PARENT,adverse
Grandmother accompanied granddaughter during visit because parents were at work,PARENT,adverse
Aunt brought nephew into clinic after becoming legal guardian following family tragedy,PARENT,adverse
"Patient reported having two children under the age of six, both girls.",PARENT,adverse
Pt shared that they are expecting twins this fall,PARENT,adverse
Mom expressed concern regarding adolescent daughters’ eating habits recently,PARENT,adverse
Grandfather took responsibility caring for grandson full-time since birth due parental issues,PARENT,adverse
Mother arrived late because she needed help getting all four kids ready before leaving,PARENT,adverse
Grandfather took responsibility of caring for grandson full-time while parents work abroad,PARENT,adverse
Pt disclosed they have fostered an eight-year-old girl since March,PARENT,adverse
Parents concerned about daughter’s frequent ear infections - referred to ENT specialist,PARENT,adverse
"Patient reports having one child, a son aged six years old.",PARENT,adverse
Grandmother accompanied grandson during visit because parents were out-of-town,PARENT,adverse
Pt disclosed they have been fostering an eight-month-old baby girl since January,PARENT,adverse
Pt shared that they are expecting their second child this winter,PARENT,adverse
Pt disclosed they have adopted an infant girl last month,PARENT,adverse
Patient states that she has four kids at home ranging in ages from seven to fifteen years old,PARENT,adverse
Dad came alone but mentioned he was taking care of his infant daughter during wife’s absence,PARENT,adverse
Teenager brought in by mother for sports physical; both excited upcoming track season,PARENT,adverse
Single mom attending appointment w/daughter (age twelve) who has been experiencing anxiety lately,PARENT,adverse
Dad shared concerns regarding behavioral changes noticed within his nine-year-old son lately,PARENT,adverse
"Patient reported having three children under the age of five, all boys.",PARENT,adverse
Single dad attending appt w/twins (age five)-concerned over lack interest school activities,PARENT,adverse
Mother expressed concern regarding adolescent daughters’ social media activity recently,PARENT,adverse
Father attended appointment alone but stated he had custody over one daughter aged eleven,PARENT,adverse
Pt shared that they are currently pregnant with their second child due in October,PARENT,adverse
Patient reported having four children under the age of ten.,PARENT,adverse
Couple seeking guidance on how best support teenage daughter through recent bipolar disorder diagnosis,PARENT,adverse
Patient reported feeling overwhelmed as a single mom raising three young boys on her own,PARENT,adverse
Aunt accompanied nephew (age 12) after becoming legal guardian following family tragedy,PARENT,adverse
Couple seeking advice on how best manage younger siblings through older sister’s leukemia treatment,PARENT,adverse
The patient has three teenage daughters who live with her.,PARENT,adverse
Couple seeking advice on how best manage younger siblings through older brother’s autism treatment,PARENT,adverse
"Teenager brought in by mother for sports physical, both excited about upcoming soccer season",PARENT,adverse
Mom arrived late because she needed help getting all five kids ready before leaving,PARENT,adverse
Single dad attending appt w/daughter(age nine)-concerned over lack interest school activities,PARENT,adverse
Dad came alone but mentioned he was taking care of his infant twin girls during wife’s absence,PARENT,adverse
Parents expressed concern about their adolescent daughter struggling academically this semester,PARENT,adverse
Grandfather took responsibility caring for grandson full-time while mother works long hours,PARENT,adverse
Grandmother accompanied grandson during visit because parents work out-of-state,PARENT,adverse
Single dad attending appt w/daughter (age six) - concerned about recent weight gain,PARENT,adverse
Teenager brought in by mother for sports physical; both excited upcoming volleyball season,PARENT,adverse
"Single mom attending appointment with her three boys (ages 5,7,9) who have been fighting lately",PARENT,adverse
Single dad attending appt w/son(age twelve)-concerned over lack interest school activities,PARENT,adverse
Father reports being the primary caregiver of his two young sons after divorce,PARENT,adverse
Grandmother accompanied grandson for routine check-up while parents were at work,PARENT,adverse
Couple seeking guidance on how best support teenage son through recent ADHD diagnosis,PARENT,adverse
Both parents were present during today's appointment for their daughter's check-up visit,PARENT,adverse
Teenager brought in by father for sports physical; both enthusiastic upcoming basketball season,PARENT,adverse
The patient is the mother of two children under the age of five.,PARENT,adverse
Pt shared that they are expecting their first child this summer,PARENT,adverse
Mother expressed concern regarding adolescent daughters’ self-esteem recently,PARENT,adverse
Father and mother attended today’s appointment together with their 11-year-old daughter,PARENT,adverse
Couple seeking guidance on how best support teenage son through recent depression diagnosis,PARENT,adverse
The father brought his infant son into the clinic for his first well-child exam,PARENT,adverse
Single mom attending appointment with twin girls (age four) who have been sick with cold symptoms,PARENT,adverse
Grandfather took responsibility caring for granddaughter full-time since birth due parental issues,PARENT,adverse
Patient mentioned that she recently gave birth to triplets all weighing around four pounds each,PARENT,adverse
Parents concerned about daughter's frequent nosebleeds - referred to ENT specialist,PARENT,adverse
Pt was seen alone but stated he had custody over his two sons ages eight and eleven,PARENT,adverse
The patient is married and has three kids ages 2-10 years old.,PARENT,adverse
The patient is a single parent raising her eight-year-old daughter.,PARENT,adverse
Grandmother accompanied granddaughter for routine check-up while parents were on vacation,PARENT,adverse
Couple seeking advice on how best to support younger siblings through older brother’s cancer treatment,PARENT,adverse
The patient's youngest child just turned one year old last month.,PARENT,adverse
Mother of three expressed frustration with balancing work and parenting responsibilities,PARENT,adverse
Mother expressed concern regarding adolescent daughters’ menstrual cycle recently,PARENT,adverse
Financial stressors related to unemployment contributing significantly to patient's anxiety symptoms.,EMPLOYMENT,adverse
Unstable housing situation affecting ability of homeless individuals secure stable long-term employment,EMPLOYMENT,adverse
Patient on disability but also working as an Uber driver occasionally for additional income.,EMPLOYMENT,adverse
Pts with criminal records facing significant barriers when attempting re-enter workforce,EMPLOYMENT,adverse
Concerns about loss healthcare coverage preventing individuals leaving unsatisfying/unhealthy jobs,EMPLOYMENT,adverse
"Caregiving responsibilities (e.g., caring elderly parent) interfering with ability take advantage career advancement opportunities",EMPLOYMENT,adverse
Difficulty accessing affordable childcare preventing pt from accepting higher-paying jobs requiring longer hours or travel,EMPLOYMENT,adverse
Sexual harassment/hostile work environments driving female employees out industry altogether                ,EMPLOYMENT,adverse
Inadequate training provided by employers leading pts feeling unprepared/overwhelmed in new roles,EMPLOYMENT,adverse
Unable secure stable housing situation making it difficult maintain consistent job schedule,EMPLOYMENT,adverse
Frustration expressed by pt regarding lack of opportunities available within current field despite extensive experience/education,EMPLOYMENT,adverse
Adequate paid leave policies essential ensuring parents can care newborn children without fear losing income/job security,EMPLOYMENT,adverse
